Entries (What does the text say?),Classification,Intensity (1-3)
I recently started learning about artifical intelligence and want to learn more about it. ,Machine Learning,1
I just heard about consulting and I would like to learn more about it. ,Consulting,1
I just got in to playing spikeball and want to improve at the sport.,Sports,1
I've never volunteered before but want to get involved with helping the community,Community Service,1
I really want to join an e-sports team but I have not played a lot of games. ,Gaming,1
"I'm interested in journalism but don't have a lot of time, I want to learn about writing and media on the side",Media,1
I am curious about student govenment and making an impact on campus,Student Government,1
I want to learn more about finance through a school club or event.,Finance,1
I have recently gained interest in medicine and would like to find opportunities to learn more about it.,Medicine,1
I don't have much coding experience and would like to learn.,Computer Science,1
I want to be able to go to indian cultural events at school.,South Asian,1
"I am curious about blockchain, I wanted to learn more about this ",Blockchain,1
I have no experience in astronomy but would like to learn about it through an astronomy club or event.,Astronomy,1
I want to learn more about the internship process and how to get one,Professional,1
"I have no experience in archery, but it looks very interesting and I want to learn more",Sports,1
I want to learn more about latin american culture and customs,Latin America,1
I am an african american computer science student new to the field and want to learn more,African American,1
"I've heard about blockchain from a friend, wanted to learn more about it",Blockchain ,1
I want to improve my public speaking especially in front of many people,Professional,1
"I've heard about consulting from a friend, wanted to learn more about it",Consulting,1
I'm interested in practicing my dance skills and I don't have much expierience.,Dance,1
I want to become bilingual in spanish and would like to find clubs to help me improve my speaking.,Spanish,1
I am interested in the greek life on campus.,Social frats,1
I want to find ways to connect with other engineers through fraternities.,Engineering Frats,1
I would like to join a honors society on campus.,Honors,1
I am interested in giving back to the community.,Community Service,1
I'm looking forward to making connections with other business students through fraternities,Business Frats,1
I am a pre-med student and want clubs that can help me get experience for my major,Medicine,1
I want to meet a diverse set of people in a low-commitment type of fraternity.,Social Frats,1
I want to get out of my comfort zone by joining and learning about debate,Debate,1
I want to get involved in helping push for policy changes in the US,Political,1
I am looking for a community of people who enjoy lifting,Fitness,1
I want to learn how to speak Chinese but I have no experience,Language,1
I want to join a consulting group on campus but I have little experience,Consulting,1
I play video games casually and want to find people who also enjoy them.,Gaming,1
"I am interested in art and want to learn more about it, possibly pick it up as a hobby.",Arts,1
I am interested in learning more about the field of medicine.,Medicine,1
"I want to pick up Spanish, but don't know much of the language.",Spanish,1
I want to pick up painting as a hobby.,Arts,1
I am interested in doing volunteer work.,Community Service,1
I am interested in joining a club about food.,Eating,1
I am interested in learning more about business.,Buisness,1
I want to meet more students that are interested in building their own buisness.,Buisness,1
"I want to learn French, but have no experience with it",Language,1
I want to start getting into Anime and learning more about it,Media,1
I like to knit and crochet and want to hang out with other people while doing it.,Arts,1
I am really looking to design and build new things,Arts,1
I have recently heard about quantitive finance and would like to learn more ,Finance,1
I want to learn more about tutoring opportunities on campus.,Tutoring,1
I want to explore new cuisines.,Eating,1
I am thinking about pursuing an Astronomy major.,Astronomy,1
I am thinking about pursuing an Accountancy major.,Accountancy,1
I am thinking about pursuing an Advertising major.,Media,1
"I don't know many people who speak my first language her on campus, and want to meet those who do.",Language,1
I am interested in learning how to make my own video game.,Gaming,1
I am interested in learning more about machine learning.,Machine Learning,1
I want to find people on campus to play sports casually with.,Sports,1
I want to develop professional skills to prepare for internships.,Professional ,1
I'd like to learn more about nutrition and healthy diets.,Eating,1
I enjoy playing basketball with my friends in my free time,Sports,1
I want to meet new friends and I am looking for a more relaxing environment,Cultural,1
"I want to learn more about working in Blockchain, I love computer science!",Blockchain,1
"I would like to learn more about drawing, painting, and sculpting",Art,1
I want to learn more about working with cryptocurrency,Blockchain,1
I recently downloaded an editing software and want to learn how to get better at it,Media,1
I recently wanted to get into breakdancing ,Dancing,1
I wanted to work on getting better at working on robotics,Robotics,1
I love being the board member of my high school club!,Student Government,1
"I just started learning about robotics, and I would really like a club that gets me some hands-one expereince",Robotics ,1
"I like drawing in my leisure time, is there a club where I can draw with others, just chilling?",Arts,1
"I've barely had any experience coding, where can I learn?",Computer Science,1
"I'd like to connect with other engineers socially and professionally, where can I do that",Engineering,1
Recommend me a club that helps me start off on learning about how businesses work and function,Business,1
"Where can I help out around the community, around one to two times a week?",Community Service ,1
"I love playing video games, where should I meet more people that like to do what I do?",Gaming,1
I'm a mexican looking to find more hispanic people to connect with on campus ,Ethnic,1
"I'm looking to explore my newfound spiritual beliefs, what communities should I check out?",Religious/Spiritual,1
"I like to play baseball in my freetime, where can I find a low-intensity league that meets every week to play",Sports,1
I'm an incoming freshman and I want to create rockets,Engineering,1
"Want to learn about impact investing, don't know where to start",Finance,1
Was wondering if there are any Asian clubs on campus,Ethnic,1
What are my options for churches around campus?,Religious/Spiritual,1
"I like to casually play pool, where can I play with others?",Sports,1
Are there clubs that help me find places to volunteer every once and a while?,Community Service ,1
Are there any clubs where I can learn more about mine and other cultures?,Ethnic,1
"I'm just coming into the business sphere, what are some good beginner clubs",Business,1
"I'm new to hands-on experience for building things, what options are there for me",Engineering,1
"I barely know how to code, where can I learn?",Computer science,1
"I'm a beginner artist, where can I learn to develop my skills?",Art,1
Learned some things about astronomy and I want to explore more,Astronomy,1
I'm new to medicine and want to learn about all the different sectors,Medicine,1
What honors programs are available for all the different colleges at UIUC,Honors,1
"I'm a big basketball fan, are there any events going on soon that relates to basketball?",Sports,1
"Hello, I'm new to campus and I'm looking to find a place where I can paint. Where should I go?",Arts,1
"I'm looking to join a professional fraternity, what would you recommend?",Business Frats,1
"I'm looking to figure out more information about my financial aid loans, where can I go to get help?",Finance,1
"I'm a freshman that just opened a new bank account, are there any resources on campus that will teach me how to manage money?",Accounting,1
"I'd like to recieve some advice from a counselor on which classes I should take this semester, where do I go?",Consulting,1
"I'm really sick, where can I go on campus to get some Nyquil",Medicine,1
Where can I go to voluneer on campus?,Community Service,1
What are the highest rated places to eat on campus?,Eating,1
"I'm a huge gamer but I don't have anyone to play with, where can I go to meet other gamers?",Gaming,1
"I'm a black american looking to spend time with people of my color, what events support black herritage on campus?",Ethnic,1
